millis,block_temp_1,block_temp_2,block_temp_mean,temp_cap,block_gradient,cap_gradient,l_btn,r_btn,H70_pwm,H50_pwm,H_CAP_pwm,H70_act,H50_act,H_CAP_act,FAN_act,AZ_5,target_temp_block,target_temp_cap,heat_act
857081,72.50,71.00,71.75,110.50,0.14,0.11,0,0,0,0,0,1,1,1,0,0,72.00,110.00,1
857778,72.00,71.00,71.50,109.50,0.11,0.11,0,0,0,0,0,1,1,1,0,0,72.00,110.00,1
858479,71.75,70.75,71.25,110.25,0.03,-0.07,0,0,0,0,100,1,1,1,0,0,72.00,110.00,1
859182,72.25,71.25,71.75,110.00,-0.04,0.11,0,0,100,100,0,1,1,1,0,0,72.00,110.00,1
859880,71.75,71.25,71.50,110.00,0.07,0.04,0,0,0,0,0,1,1,1,0,0,72.00,110.00,1
860583,71.75,71.25,71.50,110.00,-0.11,0.07,0,0,100,100,0,1,1,1,0,0,72.00,110.00,1
861291,72.25,70.00,71.12,110.00,-0.07,-0.00,0,0,100,100,0,1,1,1,0,0,72.00,110.00,1
861989,72.25,71.25,71.75,110.00,0.03,-0.00,0,0,0,0,0,1,1,1,0,0,72.00,110.00,1
862688,72.25,71.00,71.62,110.00,-0.00,-0.07,0,0,0,0,0,1,1,1,0,0,72.00,110.00,1
863388,72.75,71.00,71.87,109.75,-0.11,-0.04,0,0,0,0,0,1,1,1,0,0,72.00,110.00,1
864090,72.50,71.25,71.87,109.75,-0.00,-0.11,0,0,0,0,100,1,1,1,0,0,72.00,110.00,1
864792,72.50,71.50,72.00,109.50,-0.00,-0.11,0,0,0,0,100,1,1,1,0,0,72.00,110.00,1
865495,72.00,71.25,71.62,108.75,0.07,0.00,0,0,0,0,100,1,1,1,0,0,72.00,110.00,1
866196,71.75,71.50,71.62,109.00,0.03,-0.21,0,0,0,0,100,1,1,1,0,0,72.00,110.00,1
866902,72.25,71.25,71.75,109.75,-0.07,-0.14,0,0,100,100,100,1,1,1,0,0,72.00,110.00,1
867603,72.00,71.25,71.62,109.75,0.07,-0.04,0,0,0,0,100,1,1,1,0,0,72.00,110.00,1
868304,72.50,71.25,71.87,109.75,0.03,-0.04,0,0,0,0,100,1,1,1,0,0,72.00,110.00,1
869005,72.25,71.50,71.87,109.50,0.04,-0.04,0,0,0,0,100,1,1,1,0,0,72.00,110.00,1
869711,72.50,71.50,72.00,109.00,-0.00,-0.07,0,0,0,0,100,1,1,1,0,0,72.00,110.00,1
870412,72.50,71.25,71.87,110.00,0.04,-0.14,0,0,0,0,100,1,1,1,0,0,72.00,110.00,1
871111,72.50,71.50,72.00,110.25,-0.04,0.04,0,0,0,0,0,1,1,1,0,0,72.00,110.00,1
871810,72.00,71.00,71.50,110.00,-0.00,0.07,0,0,0,0,0,1,1,1,0,0,72.00,110.00,1
872508,72.25,71.25,71.75,110.00,-0.07,0.07,0,0,0,0,0,1,1,1,0,0,72.00,110.00,1
873206,72.25,70.75,71.50,109.75,0.04,0.18,0,0,0,0,0,1,1,1,0,0,72.00,110.00,1
873906,72.25,71.00,71.62,110.50,0.07,0.11,0,0,0,0,100,1,1,1,0,0,72.00,110.00,1
874607,72.00,71.00,71.50,110.25,0.00,0.11,0,0,0,0,0,1,1,1,0,0,72.00,110.00,1
875305,72.00,70.75,71.37,110.00,-0.00,0.07,0,0,0,0,0,1,1,1,0,0,72.00,110.00,1
876003,71.50,71.00,71.25,109.75,-0.07,0.04,0,0,0,0,0,1,1,1,0,0,72.00,110.00,1
876708,71.75,70.75,71.25,110.00,-0.11,0.03,0,0,100,100,100,1,1,1,0,0,72.00,110.00,1
877411,72.00,70.75,71.37,109.75,-0.11,0.14,0,0,100,100,0,1,1,1,0,0,72.00,110.00,1
878113,72.00,70.50,71.25,110.25,-0.07,-0.04,0,0,0,0,100,1,1,1,0,0,72.00,110.00,1
878822,72.00,71.00,71.50,109.50,-0.07,-0.00,0,0,0,0,0,1,1,1,0,0,72.00,110.00,1
879524,72.00,71.25,71.62,110.00,-0.00,-0.07,0,0,0,0,100,1,1,1,0,0,72.00,110.00,1
880224,72.25,71.00,71.62,110.25,-0.04,-0.00,0,0,0,0,0,1,1,1,0,0,72.00,110.00,1
880925,72.00,70.75,71.37,109.50,-0.00,0.07,0,0,0,0,0,1,1,1,0,0,72.00,110.00,1
881629,72.25,71.25,71.75,110.00,-0.04,-0.14,0,0,0,0,100,1,1,1,0,0,72.00,110.00,1
882327,72.00,71.00,71.50,110.00,0.03,-0.04,0,0,0,0,0,1,1,1,0,0,72.00,110.00,1
883030,72.25,71.25,71.75,109.00,-0.00,-0.00,0,0,0,0,0,1,1,1,0,0,72.00,110.00,1
883731,72.25,71.25,71.75,110.00,0.11,-0.11,0,0,0,0,100,1,1,1,0,0,72.00,110.00,1
884430,72.00,70.50,71.25,109.50,0.07,-0.00,0,0,0,0,0,1,1,1,0,0,72.00,110.00,1
885132,72.00,70.50,71.25,110.00,-0.00,-0.04,0,0,0,0,100,1,1,1,0,0,72.00,110.00,1
885831,72.00,70.75,71.37,109.50,-0.00,-0.04,0,0,0,0,0,1,1,1,0,0,72.00,110.00,1
886540,72.00,70.75,71.37,110.00,-0.00,-0.00,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
887248,71.75,70.50,71.12,109.00,-0.00,-0.00,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
887966,72.00,71.00,71.50,109.25,-0.07,-0.18,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
888683,72.25,71.25,71.75,109.75,-0.00,-0.04,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
889402,72.75,72.00,72.37,109.50,-0.00,-0.04,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
890116,73.75,72.25,73.00,109.75,0.10,-0.07,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
890826,73.75,73.25,73.50,110.00,0.21,0.11,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
891537,74.00,73.25,73.62,109.75,0.21,-0.00,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
892248,75.50,74.25,74.87,110.25,0.28,0.04,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
892953,75.75,74.25,75.00,109.75,0.49,0.03,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
893661,76.00,75.50,75.75,110.25,0.53,0.04,0,0,255,255,100,1,1,1,0,0,95.00,110.00,1
894366,77.00,75.50,76.25,110.50,0.56,0.04,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
895071,77.50,76.50,77.00,110.50,0.74,0.21,0,0,255,255,0,1,1,1,0,0,95.00,110.00,1
